;Idx,Name,Stdmode,Shape,MagUpID,ItemType,Weight,Anicount,Source,Reserved,Looks,IconEffect,InLooks,InLooksType,InLooksNum,DropLight,DropLightAni,DropSound,DuraMax,Ac,Ac2,Mac,Mac2,Dc,Dc2,Mc,Mc2,Sc,Sc2,Need,NeedLevel,Price,Stock,Shine,Job,NameColor,Smite,DamAdd,DcRedu,McRedu,IgnDef,DamReb,ExpAdd,DropRate,RareAttr,GodAttr,UserAttr,Desc,Effect,EffParam,TipEffect,TimeLimit
9,万年雪霜,0,1,,,0,1,5,0,907,0,0,0,0,,,new-yaoshui.ogg,9999,800,0,1600,0,0,0,0,0,0,0,0,0,100,5,,,255,0,0,0,0,0,0,0,0,0,0,0,<回复生命值和魔法值/FCOLOR=251>\\<[瞬回]/FCOLOR=254>,,,,0
10,疗伤药,0,1,,,0,1,5,0,1085,0,0,0,0,,,new-yaoshui.ogg,9999,1500,0,3000,0,0,0,0,0,0,0,0,0,100,5,,,255,0,0,0,0,0,0,0,0,0,0,0,<回复生命值和魔法值/FCOLOR=251>\\<[瞬回]/FCOLOR=254>,,,,0
11,大还丹,0,1,,,0,1,5,0,897,0,0,0,0,,,new-yaoshui.ogg,9999,2000,0,4000,0,0,0,0,0,0,0,0,0,100,5,,,255,0,0,0,0,0,0,0,0,0,0,0,<回复生命值和魔法值/FCOLOR=251>\\<[瞬回]/FCOLOR=254>,,,,0
12,肉,40,0,,,0,0,0,0,1075,0,0,0,0,,,new-wupin.ogg,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,,,255,0,0,0,0,0,0,0,0,0,0,0,<从动物尸体上割下的肉/FCOLOR=251>,,,,0
13,灰色药粉(少量),25,1,,,0,0,0,0,1091,0,0,0,0,,,new-wupin.ogg,5000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,,,255,0,0,0,0,0,0,0,0,0,0,0,<道士施毒术释放消耗/FCOLOR=251>,,,,0
14,黄色药粉(少量),25,2,,,0,0,0,0,1090,0,0,0,0,,,new-wupin.ogg,5000,0,0,0,0,0,0,0,0,0,0,0,0,100,50,,,255,0,0,0,0,0,0,0,0,0,0,0,<道士施毒术释放消耗/FCOLOR=251>,,,,0
15,灰色药粉(中量),25,1,,,0,0,0,0,1091,0,0,0,0,,,new-wupin.ogg,10000,0,0,0,0,0,0,0,0,0,0,0,35,100,50,,,255,0,0,0,0,0,0,0,0,0,0,0,<道士施毒术释放消耗/FCOLOR=251>,,,,0
16,黄色药粉(中量),25,2,,,0,0,0,0,1090,0,0,0,0,,,new-wupin.ogg,10000,0,0,0,0,0,0,0,0,0,0,0,35,100,50,,,255,0,0,0,0,0,0,0,0,0,0,0,<道士施毒术释放消耗/FCOLOR=251>,,,,0
17,灰色药粉(大量),25,1,,,0,0,0,0,1091,0,0,0,0,,,new-wupin.ogg,15000,0,0,0,0,0,0,0,0,0,0,0,35,100,50,,,255,0,0,0,0,0,0,0,0,0,0,0,<道士施毒术释放消耗/FCOLOR=251>,,,,0
18,黄色药粉(大量),25,2,,,0,0,0,0,1090,0,0,0,0,,,new-wupin.ogg,15000,0,0,0,0,0,0,0,0,0,0,0,35,100,50,,,255,0,0,0,0,0,0,0,0,0,0,0,<道士施毒术释放消耗/FCOLOR=251>,,,,0
19,护身符(小),25,5,,,0,0,0,0,1092,0,0,0,0,,,new-wupin.ogg,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,5,,,255,0,0,0,0,0,0,0,0,0,0,0,,,,,
20,护身符(中),25,5,,,0,0,0,0,1094,0,0,0,0,,,new-wupin.ogg,15000,0,0,0,0,0,0,0,0,0,0,0,0,100,5,,,255,0,0,0,0,0,0,0,0,0,0,0,,,,,
21,护身符(大),25,5,,,0,0,0,0,1094,0,0,0,0,,,new-wupin.ogg,20000,0,0,0,0,0,0,0,0,0,0,0,0,100,5,,,255,0,0,0,0,0,0,0,0,0,0,0,,,,,
22,铜矿,43,0,,,0,0,0,0,1134,0,0,0,0,,,new-wupin.ogg,60000,0,0,0,0,0,0,0,0,0,0,0,0,100,5,,,255,0,0,0,0,0,0,0,0,0,0,0,<矿区挖矿获得/FCOLOR=251>,,,,0
23,铁矿,43,0,,,0,0,0,0,1136,0,0,0,0,,,new-wupin.ogg,60000,0,0,0,0,0,0,0,0,0,0,0,0,100,5,,,255,0,0,0,0,0,0,0,0,0,0,0,<矿区挖矿获得/FCOLOR=251>,,,,0
24,银矿,43,0,,,0,0,0,0,1135,0,0,0,0,,,new-wupin.ogg,60000,0,0,0,0,0,0,0,0,0,0,0,0,100,5,,,255,0,0,0,0,0,0,0,0,0,0,0,<矿区挖矿获得/FCOLOR=251>,,,,0
25,金矿,43,0,,,0,0,0,0,1133,0,0,0,0,,,new-wupin.ogg,60000,0,0,0,0,0,0,0,0,0,0,0,0,100,5,,,255,0,0,0,0,0,0,0,0,0,0,0,<矿区挖矿获得/FCOLOR=251>,,,,0
26,千里传音,7,0,,,0,0,0,0,1037,0,0,0,0,,,new-wupin.ogg,10000,0,0,0,0,0,0,0,0,0,0,0,0,100,1,,,255,0,0,0,0,0,0,0,0,0,0,0,<游戏喊话消耗/FCOLOR=251>,,,,0
27,聚灵珠(小),49,100,,,0,0,0,0,916,0,0,0,0,,,new-wupin.ogg,50,0,0,0,0,0,0,0,0,0,0,10,1,100,0,,,255,0,0,0,0,0,0,0,0,0,0,0,<杀怪时储蓄同等经验/FCOLOR=254>\\<储蓄满后双击获得全部经验/FCOLOR=254>\\<未满时丢到地上就废弃/FCOLOR=58>,,,,0
28,聚灵珠(中),49,100,,,0,0,0,0,920,0,0,0,0,,,new-wupin.ogg,500,0,0,0,0,0,0,0,0,0,0,20,1,100,0,,,255,0,0,0,0,0,0,0,0,0,0,0,<杀怪时储蓄同等经验/FCOLOR=254>\\<储蓄满后双击获得全部经验/FCOLOR=254>\\<未满时丢到地上就废弃/FCOLOR=58>,,,,0
29,聚灵珠(大),49,100,,,0,0,0,0,921,0,0,0,0,,,new-wupin.ogg,5000,0,0,0,0,0,0,0,0,0,0,30,1,100,0,,,255,0,0,0,0,0,0,0,0,0,0,0,<杀怪时储蓄同等经验/FCOLOR=254>\\<储蓄满后双击获得全部经验/FCOLOR=254>\\<未满时丢到地上就废弃/FCOLOR=58>,,,,0
30,土城传送石,2,0,,,0,0,0,0,1103,0,0,0,0,,,new-wupin.ogg,50000,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,0,0,0,<使用后回到大陆土城区域/FCOLOR=254>,,,,0
31,皇城传送石,2,0,,,0,0,0,0,1098,0,0,0,0,,,new-wupin.ogg,50000,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,0,0,0,<使用后回到大陆皇城区域/FCOLOR=254>,,,,0
32,随机传送石,2,0,,,0,0,0,0,1102,0,0,0,0,,,new-wupin.ogg,50000,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,0,0,0,<使用后在本地图随机传送/FCOLOR=254>,,,,0
33,魔血石,7,3,,,0,0,0,0,1097,0,0,0,0,,,new-yaoshui.ogg,20000,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,0,0,0,<回复生命值和魔法值/FCOLOR=254>\\<[持续]/FCOLOR=254>,,,,0
34,火龙之心,25,9,,,0,0,0,0,1040,0,0,0,0,,,new-wupin.ogg,30000,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,0,0,0,<佩戴后持续回复怒气值/FCOLOR=254>,,,,0
35,攻击宝石Lv1,42,0,,101,0,0,0,0,801,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,14#100#5#5#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
36,攻击宝石Lv2,42,0,,101,0,0,0,0,802,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,14#100#10#10#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
37,攻击宝石Lv3,42,0,,101,0,0,0,0,803,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,14#100#15#15#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
38,攻击宝石Lv4,42,0,,101,0,0,0,0,804,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,14#100#20#20#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
39,攻击宝石Lv5,42,0,,101,0,0,0,0,805,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,14#100#25#25#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
40,攻击宝石Lv6,42,0,,101,0,0,0,0,806,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,14#100#30#30#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
41,攻击宝石Lv7,42,0,,101,0,0,0,0,807,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,14#100#35#35#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
42,攻击宝石Lv8,42,0,,101,0,0,0,0,808,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,14#100#40#40#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
43,攻击宝石Lv9,42,0,,101,0,0,0,0,809,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,14#100#45#45#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
44,攻击宝石Lv10,42,0,,101,0,0,0,0,810,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,14#100#50#50#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
45,魔法宝石Lv1,42,1,,101,0,0,0,0,811,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,17#100#5#5#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
46,魔法宝石Lv2,42,1,,101,0,0,0,0,812,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,17#100#10#10#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
47,魔法宝石Lv3,42,1,,101,0,0,0,0,813,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,17#100#15#15#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
48,魔法宝石Lv4,42,1,,101,0,0,0,0,814,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,17#100#20#20#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
49,魔法宝石Lv5,42,1,,101,0,0,0,0,815,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,17#100#25#25#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
50,魔法宝石Lv6,42,1,,101,0,0,0,0,816,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,17#100#30#30#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
51,魔法宝石Lv7,42,1,,101,0,0,0,0,817,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,17#100#35#35#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
52,魔法宝石Lv8,42,1,,101,0,0,0,0,818,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,17#100#40#40#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
53,魔法宝石Lv9,42,1,,101,0,0,0,0,819,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,17#100#45#45#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
54,魔法宝石Lv10,42,1,,101,0,0,0,0,820,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,17#100#50#50#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
55,道术宝石Lv1,42,2,,101,0,0,0,0,821,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,20#100#5#5#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
56,道术宝石Lv2,42,2,,101,0,0,0,0,822,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,20#100#10#10#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
57,道术宝石Lv3,42,2,,101,0,0,0,0,823,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,20#100#15#15#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
58,道术宝石Lv4,42,2,,101,0,0,0,0,824,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,20#100#20#20#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
59,道术宝石Lv5,42,2,,101,0,0,0,0,825,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,20#100#25#25#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
60,道术宝石Lv6,42,2,,101,0,0,0,0,826,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,20#100#30#30#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
61,道术宝石Lv7,42,2,,101,0,0,0,0,827,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,20#100#35#35#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
62,道术宝石Lv8,42,2,,101,0,0,0,0,828,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,20#100#40#40#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
63,道术宝石Lv9,42,2,,101,0,0,0,0,829,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,20#100#45#45#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
64,道术宝石Lv10,42,2,,101,0,0,0,0,830,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,20#100#50#50#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
65,生命宝石Lv1,42,3,,101,0,0,0,0,831,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,7#100#50#50#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
66,生命宝石Lv2,42,3,,101,0,0,0,0,832,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,7#100#100#100#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
67,生命宝石Lv3,42,3,,101,0,0,0,0,833,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,7#100#150#150#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
68,生命宝石Lv4,42,3,,101,0,0,0,0,834,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,7#100#200#200#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
69,生命宝石Lv5,42,3,,101,0,0,0,0,835,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,7#100#250#250#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
70,生命宝石Lv6,42,3,,101,0,0,0,0,836,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,7#100#300#300#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
71,生命宝石Lv7,42,3,,101,0,0,0,0,837,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,7#100#350#350#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
72,生命宝石Lv8,42,3,,101,0,0,0,0,838,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,7#100#400#400#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
73,生命宝石Lv9,42,3,,101,0,0,0,0,839,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,7#100#450#450#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
74,生命宝石Lv10,42,3,,101,0,0,0,0,840,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,7#100#500#500#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
75,切割宝石Lv1,42,4,,101,0,0,0,0,841,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,43#100#5#5#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
76,切割宝石Lv2,42,4,,101,0,0,0,0,842,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,43#100#10#10#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
77,切割宝石Lv3,42,4,,101,0,0,0,0,843,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,43#100#15#15#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
78,切割宝石Lv4,42,4,,101,0,0,0,0,844,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,43#100#20#20#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
79,切割宝石Lv5,42,4,,101,0,0,0,0,845,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,43#100#25#25#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
80,切割宝石Lv6,42,4,,101,0,0,0,0,846,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,43#100#30#30#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
81,切割宝石Lv7,42,4,,101,0,0,0,0,847,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,43#100#35#35#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
82,切割宝石Lv8,42,4,,101,0,0,0,0,848,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,43#100#40#40#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
83,切割宝石Lv9,42,4,,101,0,0,0,0,849,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,43#100#45#45#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
84,切割宝石Lv10,42,4,,101,0,0,0,0,850,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,43#100#50#50#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
85,破甲宝石Lv1,42,5,,101,0,0,0,0,851,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,5#100#1#1#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
86,破甲宝石Lv2,42,5,,101,0,0,0,0,852,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,5#100#2#2#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
87,破甲宝石Lv3,42,5,,101,0,0,0,0,853,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,5#100#3#3#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
88,破甲宝石Lv4,42,5,,101,0,0,0,0,854,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,5#100#4#4#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
89,破甲宝石Lv5,42,5,,101,0,0,0,0,855,0,0,0,0,,,new-baoshi2.ogg,65535,0,0,0,0,0,0,0,0,0,0,0,1,100,0,,,255,0,0,0,0,0,0,0,0,5#100#5#5#100,0,0,<可以镶嵌到装备孔内/FCOLOR=254>,,,,0
