[2023/12/19 22:01:08 977]  [正在初始地图文件 0 (2/848)]
[2023/12/19 22:01:09 051]  [正在初始地图文件 D1002 (570/848)]
[2023/12/19 22:01:09 052]  [正在初始地图文件 D10031 (578/848)]
[2023/12/19 22:01:09 052]  [正在初始地图文件 D10032 (582/848)]
[2023/12/19 22:01:09 053]  [正在初始地图文件 D1004 (586/848)]
[2023/12/19 22:01:09 054]  [正在初始地图文件 D10051 (592/848)]
[2023/12/19 22:01:09 054]  [正在初始地图文件 D10052 (596/848)]
[2023/12/19 22:01:09 054]  [正在初始地图文件 D10061 (600/848)]
[2023/12/19 22:01:09 055]  [正在初始地图文件 D10062 (604/848)]
[2023/12/19 22:01:09 056]  [正在初始地图文件 4 (611/848)]
[2023/12/19 22:01:09 057]  [正在初始地图文件 B341 (613/848)]
[2023/12/19 22:01:09 058]  [正在初始地图文件 D2000 (625/848)]
[2023/12/19 22:01:09 059]  [正在初始地图文件 D2001 (631/848)]
[2023/12/19 22:01:09 060]  [正在初始地图文件 D2002 (635/848)]
[2023/12/19 22:01:09 061]  [正在初始地图文件 D2004 (639/848)]
[2023/12/19 22:01:09 062]  [正在初始地图文件 D2005 (643/848)]
[2023/12/19 22:01:09 063]  [正在初始地图文件 D2006 (647/848)]
[2023/12/19 22:01:09 063]  [正在初始地图文件 D2007 (651/848)]
[2023/12/19 22:01:09 065]  [正在初始地图文件 D10054 (658/848)]
[2023/12/19 22:01:09 066]  [正在初始地图文件 D2008 (660/848)]
[2023/12/19 22:01:09 066]  [正在初始地图文件 D2009 (664/848)]
[2023/12/19 22:01:09 067]  [正在初始地图文件 D2010 (668/848)]
[2023/12/19 22:01:09 068]  [正在初始地图文件 D10053 (675/848)]
[2023/12/19 22:01:09 069]  [正在初始地图文件 D2011 (678/848)]
[2023/12/19 22:01:09 070]  [正在初始地图文件 D2012 (682/848)]
[2023/12/19 22:01:09 071]  [正在初始地图文件 D2013 (686/848)]
[2023/12/19 22:01:09 072]  [正在初始地图文件 M100 (692/848)]
[2023/12/19 22:01:09 072]  [正在初始地图文件 M101 (696/848)]
[2023/12/19 22:01:09 073]  [正在初始地图文件 H001 (707/848)]
[2023/12/19 22:01:09 075]  [正在初始地图文件 H002 (708/848)]
[2023/12/19 22:01:09 076]  [正在初始地图文件 H003 (711/848)]
[2023/12/19 22:01:09 076]  [正在初始地图文件 H004 (717/848)]
[2023/12/19 22:01:09 077]  [正在初始地图文件 H005 (721/848)]
[2023/12/19 22:01:09 078]  [正在初始地图文件 H006 (725/848)]
[2023/12/19 22:01:09 079]  [正在初始地图文件 H007 (729/848)]
[2023/12/19 22:01:09 079]  [正在初始地图文件 T1061 (733/848)]
[2023/12/19 22:01:09 080]  [正在初始地图文件 T2061 (735/848)]
[2023/12/19 22:01:09 081]  [正在初始地图文件 T2062 (737/848)]
[2023/12/19 22:01:09 081]  [正在初始地图文件 T2063 (739/848)]
[2023/12/19 22:01:09 082]  [正在初始地图文件 T3061 (741/848)]
[2023/12/19 22:01:09 083]  [正在初始地图文件 T3062 (743/848)]
[2023/12/19 22:01:09 083]  [正在初始地图文件 H008 (746/848)]
[2023/12/19 22:01:09 084]  [正在初始地图文件 H009 (749/848)]
[2023/12/19 22:01:09 085]  [正在初始地图文件 H010 (753/848)]
[2023/12/19 22:01:09 085]  [正在初始地图文件 H102 (761/848)]
[2023/12/19 22:01:09 086]  [正在初始地图文件 H106 (764/848)]
[2023/12/19 22:01:09 086]  [正在初始地图文件 T232 (770/848)]
[2023/12/19 22:01:09 087]  [正在初始地图文件 T218 (772/848)]
[2023/12/19 22:01:09 088]  [正在初始地图文件 T339 (774/848)]
[2023/12/19 22:01:09 089]  [正在初始地图文件 T219 (776/848)]
[2023/12/19 22:01:09 090]  [正在初始地图文件 T315 (778/848)]
[2023/12/19 22:01:09 090]  [正在初始地图文件 T118 (780/848)]
[2023/12/19 22:01:09 091]  [正在初始地图文件 H201 (786/848)]
[2023/12/19 22:01:09 092]  [正在初始地图文件 H202 (787/848)]
[2023/12/19 22:01:09 094]  [正在初始地图文件 H203 (790/848)]
[2023/12/19 22:01:09 095]  [正在初始地图文件 H204 (793/848)]
[2023/12/19 22:01:09 095]  [正在初始地图文件 XSC (798/848)]
[2023/12/19 22:01:09 096]  [正在初始地图文件 DBDT (799/848)]
[2023/12/19 22:01:09 097]  [正在初始地图文件 DJT (800/848)]
[2023/12/19 22:01:09 098]  [正在初始地图文件 WP09 (801/848)]
[2023/12/19 22:01:09 099]  [正在初始地图文件 WP18 (802/848)]
[2023/12/19 22:01:09 100]  [正在初始地图文件 WP27 (803/848)]
[2023/12/19 22:01:09 101]  [正在初始地图文件 WP34 (804/848)]
[2023/12/19 22:01:09 101]  [正在初始地图文件 0150 (805/848)]
[2023/12/19 22:01:09 102]  [正在初始地图文件 D701 (806/848)]
[2023/12/19 22:01:09 103]  [正在初始地图文件 WP02 (810/848)]
[2023/12/19 22:01:09 103]  [正在初始地图文件 WP04 (811/848)]
[2023/12/19 22:01:09 104]  [正在初始地图文件 WP14 (812/848)]
[2023/12/19 22:01:09 105]  [正在初始地图文件 WP06 (813/848)]
[2023/12/19 22:01:09 105]  [正在初始地图文件 WP10 (814/848)]
[2023/12/19 22:01:09 106]  [正在初始地图文件 WP19 (815/848)]
[2023/12/19 22:01:09 106]  [正在初始地图文件 WP26 (816/848)]
[2023/12/19 22:01:09 107]  [正在初始地图文件 WP05 (817/848)]
[2023/12/19 22:01:09 108]  [正在初始地图文件 WP30 (818/848)]
[2023/12/19 22:01:09 109]  [正在初始地图文件 WP00 (819/848)]
[2023/12/19 22:01:09 110]  [正在初始地图文件 WP31 (820/848)]
[2023/12/19 22:01:09 111]  [正在初始地图文件 WP32 (821/848)]
[2023/12/19 22:01:09 112]  [正在初始地图文件 WP33 (822/848)]
[2023/12/19 22:01:09 113]  [正在初始地图文件 WP20 (825/848)]
[2023/12/19 22:01:09 114]  [正在初始地图文件 WP21 (826/848)]
[2023/12/19 22:01:09 114]  [正在初始地图文件 WP22 (827/848)]
[2023/12/19 22:01:09 115]  [正在初始地图文件 WP24 (829/848)]
[2023/12/19 22:01:09 117]  [正在初始地图文件 WP25 (830/848)]
[2023/12/19 22:01:09 117]  [正在初始地图文件 WP12 (832/848)]
[2023/12/19 22:01:09 117]  [正在初始地图文件 WP13 (833/848)]
[2023/12/19 22:01:09 118]  [正在初始地图文件 WP15 (835/848)]
[2023/12/19 22:01:09 119]  [正在初始地图文件 WP16 (836/848)]
[2023/12/19 22:01:09 120]  [正在初始地图文件 WP07 (837/848)]
[2023/12/19 22:01:09 121]  [正在初始地图文件 WP28 (839/848)]
[2023/12/19 22:01:09 123]  [正在初始地图文件 WP08 (840/848)]
[2023/12/19 22:01:09 124]  [正在初始地图文件 WP11 (842/848)]
[2023/12/19 22:01:09 125]  [正在初始地图文件 WP01 (844/848)]
[2023/12/19 22:01:09 126]  [正在初始地图文件 WP23 (845/848)]
[2023/12/19 22:01:09 127]  [正在初始地图文件 WP29 (846/848)]
[2023/12/19 22:01:09 128]  [正在初始地图文件 WP35 (847/848)]
[2023/12/19 22:01:09 129]  [正在初始地图文件 WP03 (848/848)]
[2023/12/19 22:01:09 529] {异常} 刷怪配置错误, 行113, 没这个地图: [E605]
[2023/12/19 22:01:09 529] {异常} 刷怪配置错误, 行114, 没这个地图: [E605]
[2023/12/19 22:01:09 529] {异常} 刷怪配置错误, 行119, 没这个地图: [E601]
[2023/12/19 22:01:09 529] {异常} 刷怪配置错误, 行120, 没这个地图: [E601]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2531, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2532, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2533, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2534, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2535, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2536, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2537, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2538, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2539, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2540, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2541, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2542, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2543, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2544, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2545, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2546, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2547, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2548, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2549, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2550, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2551, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2552, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2553, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2554, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2555, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2557, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2558, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2559, 没这个地图: [H104]
[2023/12/19 22:01:09 570] {异常} 刷怪配置错误, 行2560, 没这个地图: [H104]
[2023/12/19 22:01:09 636] 已读取 2个行会信息...
[2023/12/19 22:01:09 646] {YouMeSDK}App Key：YOUME07FE20B...
[2023/12/19 22:01:09 646] {YouMeSDK}Api Key：1b96380f1a9f...
[2023/12/19 22:01:09 646] {YouMeSDK}App Secret：t8IKpTDli...
[2023/12/19 22:01:09 659] 已读取 1个城堡信息...
[2023/12/19 22:01:09 672] [错误信息] 城堡初始化城门失败，检查怪物数据库里有没城门的设置: 沙巴克城门
[2023/12/19 22:01:09 672] [错误信息] 城堡初始化左城墙失败，检查怪物数据库里有没左城墙的设置: 沙巴克左城墙
[2023/12/19 22:01:09 672] [错误信息] 城堡初始化中城墙失败，检查怪物数据库里有没中城墙的设置: 沙巴克右城墙
[2023/12/19 22:01:09 672] [错误信息] 城堡初始化右城墙失败，检查怪物数据库里有没右城墙的设置: 沙巴克中城墙
[2023/12/19 22:01:10 314] 
[2023/12/19 22:01:10 314] 
[2023/12/19 22:01:10 314] 本引擎为免费软件，仅供学习研究使用，禁止使用于商业活动或者其他侵权行为，否则后果自负。
[2023/12/19 22:01:10 314] 官方网站: 引擎
[2023/12/19 22:01:10 314] 程序论坛: 引擎
[2023/12/19 22:01:10 314] 
[2023/12/19 22:01:10 335] {统计}GameServer: 处理:0/0 传输:0/0 角色:0/0
[2023/12/19 22:01:10 335] 登录服务器(127.0.0.1:5600)连接成功...
[2023/12/19 22:01:12 338] {日志} 游戏网关端口(127.0.0.1:5000)打开成功
[2023/12/19 22:01:14 067] 游戏网关[0]R(127.0.0.1:52095)=>L(127.0.0.1:5000)已打开
[2023/12/19 22:01:14 102] 数据库服务器(127.0.0.1:6000)连接成功...
[2023/12/19 22:01:14 129] {加载} 租赁商店数据
[2023/12/19 22:01:15 216] [连接] LS选服添加会话:admin1/2
[2023/12/19 22:01:20 699] [连接] LS请求关闭会话:admin1/2
[2023/12/19 22:01:20 823] {保存} 保存角色完成: ddmir4, TICK: 109
[2023/12/19 22:02:04 698] [连接] LS选服添加会话:admin1/3
[2023/12/19 22:04:00 606] [连接] LS请求关闭会话:admin1/3
[2023/12/19 22:06:03 471] [连接] LS选服添加会话:admin1/4
[2023/12/19 22:06:08 749] 在线数: 0 (0/0)
[2023/12/19 22:06:10 358] {统计}GameServer: 处理:16/32 传输:0/0 角色:16/32
[2023/12/19 22:07:55 595] [连接] LS请求关闭会话:admin1/4
[2023/12/19 22:08:43 112] [连接] LS选服添加会话:admin1/5
[2023/12/19 22:09:20 426] [连接] LS请求关闭会话:admin1/5
[2023/12/19 22:09:40 331] {保存} 保存无限仓库和租赁商店
[2023/12/19 22:09:41 003] {保存} 保存变量
[2023/12/19 22:09:41 008] {保存} 系统数据, 类型: 1
[2023/12/19 22:10:05 647] [连接] LS选服添加会话:admin1/6
[2023/12/19 22:10:27 863] [连接] LS请求关闭会话:admin1/6
[2023/12/19 22:10:29 508] [连接] LS选服添加会话:admin1/7
[2023/12/19 22:11:08 783] 在线数: 0 (0/0)
[2023/12/19 22:11:10 380] {统计}GameServer: 处理:16/32 传输:0/0 角色:16/32
[2023/12/19 22:11:54 104] [连接] LS请求关闭会话:admin1/7
[2023/12/19 22:11:54 198] 游戏网关[0]R(127.0.0.1:52095)=>L(127.0.0.1:5000)已关闭
[2023/12/19 22:11:54 495] 登录服务器(127.0.0.1:5600)断开连接...
[2023/12/19 22:11:54 983] {退出} 收到GameCenter的关闭消息
[2023/12/19 22:11:54 984] 游戏网关端口(127.0.0.1:5000)已关闭...
[2023/12/19 22:11:55 093] {保存} 保存无限仓库和租赁商店
[2023/12/19 22:11:55 603] {保存} 保存变量
[2023/12/19 22:11:55 603] {保存} 保存完毕,关服
