[2023/12/18 23:53:39 996]  [正在初始地图文件(2/848)]
[2023/12/18 23:53:40 063]  [正在初始地图文件(405/848)]
[2023/12/18 23:53:40 064]  [正在初始地图文件(409/848)]
[2023/12/18 23:53:40 065]  [正在初始地图文件(413/848)]
[2023/12/18 23:53:40 066]  [正在初始地图文件(415/848)]
[2023/12/18 23:53:40 067]  [正在初始地图文件(417/848)]
[2023/12/18 23:53:40 067]  [正在初始地图文件(419/848)]
[2023/12/18 23:53:40 068]  [正在初始地图文件(421/848)]
[2023/12/18 23:53:40 069]  [正在初始地图文件(423/848)]
[2023/12/18 23:53:40 069]  [正在初始地图文件(426/848)]
[2023/12/18 23:53:40 070]  [正在初始地图文件(430/848)]
[2023/12/18 23:53:40 070]  [正在初始地图文件(433/848)]
[2023/12/18 23:53:40 070]  [正在初始地图文件(439/848)]
[2023/12/18 23:53:40 071]  [正在初始地图文件(447/848)]
[2023/12/18 23:53:40 071]  [正在初始地图文件(457/848)]
[2023/12/18 23:53:40 072]  [正在初始地图文件(467/848)]
[2023/12/18 23:53:40 072]  [正在初始地图文件(472/848)]
[2023/12/18 23:53:40 073]  [正在初始地图文件(476/848)]
[2023/12/18 23:53:40 073]  [正在初始地图文件(479/848)]
[2023/12/18 23:53:40 074]  [正在初始地图文件(480/848)]
[2023/12/18 23:53:40 074]  [正在初始地图文件(484/848)]
[2023/12/18 23:53:40 075]  [正在初始地图文件(491/848)]
[2023/12/18 23:53:40 075]  [正在初始地图文件(492/848)]
[2023/12/18 23:53:40 077]  [正在初始地图文件(498/848)]
[2023/12/18 23:53:40 079]  [正在初始地图文件(508/848)]
[2023/12/18 23:53:40 081]  [正在初始地图文件(512/848)]
[2023/12/18 23:53:40 082]  [正在初始地图文件(516/848)]
[2023/12/18 23:53:40 083]  [正在初始地图文件(520/848)]
[2023/12/18 23:53:40 083]  [正在初始地图文件(524/848)]
[2023/12/18 23:53:40 084]  [正在初始地图文件(528/848)]
[2023/12/18 23:53:40 084]  [正在初始地图文件(537/848)]
[2023/12/18 23:53:40 085]  [正在初始地图文件(540/848)]
[2023/12/18 23:53:40 085]  [正在初始地图文件(545/848)]
[2023/12/18 23:53:40 085]  [正在初始地图文件(549/848)]
[2023/12/18 23:53:40 086]  [正在初始地图文件(553/848)]
[2023/12/18 23:53:40 086]  [正在初始地图文件(558/848)]
[2023/12/18 23:53:40 086]  [正在初始地图文件(562/848)]
[2023/12/18 23:53:40 087]  [正在初始地图文件(566/848)]
[2023/12/18 23:53:40 088]  [正在初始地图文件(570/848)]
[2023/12/18 23:53:40 088]  [正在初始地图文件(578/848)]
[2023/12/18 23:53:40 089]  [正在初始地图文件(582/848)]
[2023/12/18 23:53:40 090]  [正在初始地图文件(586/848)]
[2023/12/18 23:53:40 092]  [正在初始地图文件(592/848)]
[2023/12/18 23:53:40 094]  [正在初始地图文件(596/848)]
[2023/12/18 23:53:40 095]  [正在初始地图文件(600/848)]
[2023/12/18 23:53:40 096]  [正在初始地图文件(604/848)]
[2023/12/18 23:53:40 096]  [正在初始地图文件(611/848)]
[2023/12/18 23:53:40 097]  [正在初始地图文件(613/848)]
[2023/12/18 23:53:40 097]  [正在初始地图文件(625/848)]
[2023/12/18 23:53:40 098]  [正在初始地图文件(631/848)]
[2023/12/18 23:53:40 098]  [正在初始地图文件(635/848)]
[2023/12/18 23:53:40 099]  [正在初始地图文件(639/848)]
[2023/12/18 23:53:40 100]  [正在初始地图文件(643/848)]
[2023/12/18 23:53:40 100]  [正在初始地图文件(647/848)]
[2023/12/18 23:53:40 101]  [正在初始地图文件(651/848)]
[2023/12/18 23:53:40 101]  [正在初始地图文件(658/848)]
[2023/12/18 23:53:40 102]  [正在初始地图文件(660/848)]
[2023/12/18 23:53:40 102]  [正在初始地图文件(664/848)]
[2023/12/18 23:53:40 103]  [正在初始地图文件(668/848)]
[2023/12/18 23:53:40 104]  [正在初始地图文件(675/848)]
[2023/12/18 23:53:40 105]  [正在初始地图文件(678/848)]
[2023/12/18 23:53:40 107]  [正在初始地图文件(682/848)]
[2023/12/18 23:53:40 109]  [正在初始地图文件(686/848)]
[2023/12/18 23:53:40 110]  [正在初始地图文件(692/848)]
[2023/12/18 23:53:40 110]  [正在初始地图文件(696/848)]
[2023/12/18 23:53:40 112]  [正在初始地图文件(707/848)]
[2023/12/18 23:53:40 113]  [正在初始地图文件(708/848)]
[2023/12/18 23:53:40 114]  [正在初始地图文件(711/848)]
[2023/12/18 23:53:40 116]  [正在初始地图文件(717/848)]
[2023/12/18 23:53:40 118]  [正在初始地图文件(721/848)]
[2023/12/18 23:53:40 119]  [正在初始地图文件(725/848)]
[2023/12/18 23:53:40 120]  [正在初始地图文件(729/848)]
[2023/12/18 23:53:40 120]  [正在初始地图文件(733/848)]
[2023/12/18 23:53:40 121]  [正在初始地图文件(735/848)]
[2023/12/18 23:53:40 122]  [正在初始地图文件(737/848)]
[2023/12/18 23:53:40 123]  [正在初始地图文件(739/848)]
[2023/12/18 23:53:40 123]  [正在初始地图文件(741/848)]
[2023/12/18 23:53:40 124]  [正在初始地图文件(743/848)]
[2023/12/18 23:53:40 125]  [正在初始地图文件(746/848)]
[2023/12/18 23:53:40 125]  [正在初始地图文件(749/848)]
[2023/12/18 23:53:40 126]  [正在初始地图文件(753/848)]
[2023/12/18 23:53:40 127]  [正在初始地图文件(761/848)]
[2023/12/18 23:53:40 128]  [正在初始地图文件(764/848)]
[2023/12/18 23:53:40 129]  [正在初始地图文件(770/848)]
[2023/12/18 23:53:40 130]  [正在初始地图文件(772/848)]
[2023/12/18 23:53:40 131]  [正在初始地图文件(774/848)]
[2023/12/18 23:53:40 134]  [正在初始地图文件(776/848)]
[2023/12/18 23:53:40 134]  [正在初始地图文件(778/848)]
[2023/12/18 23:53:40 135]  [正在初始地图文件(780/848)]
[2023/12/18 23:53:40 135]  [正在初始地图文件(786/848)]
[2023/12/18 23:53:40 136]  [正在初始地图文件(787/848)]
[2023/12/18 23:53:40 137]  [正在初始地图文件(790/848)]
[2023/12/18 23:53:40 137]  [正在初始地图文件(793/848)]
[2023/12/18 23:53:40 138]  [正在初始地图文件(798/848)]
[2023/12/18 23:53:40 138]  [正在初始地图文件(799/848)]
[2023/12/18 23:53:40 139]  [正在初始地图文件(800/848)]
[2023/12/18 23:53:40 139]  [正在初始地图文件(801/848)]
[2023/12/18 23:53:40 139]  [正在初始地图文件(802/848)]
[2023/12/18 23:53:40 140]  [正在初始地图文件(803/848)]
[2023/12/18 23:53:40 140]  [正在初始地图文件(804/848)]
[2023/12/18 23:53:40 141]  [正在初始地图文件(805/848)]
[2023/12/18 23:53:40 141]  [正在初始地图文件(806/848)]
[2023/12/18 23:53:40 141]  [正在初始地图文件(810/848)]
[2023/12/18 23:53:40 142]  [正在初始地图文件(811/848)]
[2023/12/18 23:53:40 143]  [正在初始地图文件(812/848)]
[2023/12/18 23:53:40 144]  [正在初始地图文件(813/848)]
[2023/12/18 23:53:40 146]  [正在初始地图文件(814/848)]
[2023/12/18 23:53:40 146]  [正在初始地图文件(815/848)]
[2023/12/18 23:53:40 147]  [正在初始地图文件(816/848)]
[2023/12/18 23:53:40 148]  [正在初始地图文件(817/848)]
[2023/12/18 23:53:40 148]  [正在初始地图文件(818/848)]
[2023/12/18 23:53:40 148]  [正在初始地图文件(819/848)]
[2023/12/18 23:53:40 149]  [正在初始地图文件(820/848)]
[2023/12/18 23:53:40 149]  [正在初始地图文件(821/848)]
[2023/12/18 23:53:40 150]  [正在初始地图文件(822/848)]
[2023/12/18 23:53:40 150]  [正在初始地图文件(825/848)]
[2023/12/18 23:53:40 151]  [正在初始地图文件(826/848)]
[2023/12/18 23:53:40 151]  [正在初始地图文件(827/848)]
[2023/12/18 23:53:40 152]  [正在初始地图文件(829/848)]
[2023/12/18 23:53:40 152]  [正在初始地图文件(830/848)]
[2023/12/18 23:53:40 153]  [正在初始地图文件(832/848)]
[2023/12/18 23:53:40 154]  [正在初始地图文件(833/848)]
[2023/12/18 23:53:40 155]  [正在初始地图文件(835/848)]
[2023/12/18 23:53:40 155]  [正在初始地图文件(836/848)]
[2023/12/18 23:53:40 156]  [正在初始地图文件(837/848)]
[2023/12/18 23:53:40 157]  [正在初始地图文件(839/848)]
[2023/12/18 23:53:40 157]  [正在初始地图文件(840/848)]
[2023/12/18 23:53:40 158]  [正在初始地图文件(842/848)]
[2023/12/18 23:53:40 159]  [正在初始地图文件(844/848)]
[2023/12/18 23:53:40 159]  [正在初始地图文件(845/848)]
[2023/12/18 23:53:40 160]  [正在初始地图文件(846/848)]
[2023/12/18 23:53:40 161]  [正在初始地图文件(847/848)]
[2023/12/18 23:53:40 163]  [正在初始地图文件(848/848)]
[2023/12/18 23:53:40 725] {异常} 刷怪配置错误, 行110, 没这个地图: [d422]
[2023/12/18 23:53:40 725] {异常} 刷怪配置错误, 行111, 没这个地图: [d422]
[2023/12/18 23:53:40 725] {异常} 刷怪配置错误, 行113, 没这个地图: [E605]
[2023/12/18 23:53:40 725] {异常} 刷怪配置错误, 行114, 没这个地图: [E605]
[2023/12/18 23:53:40 725] {异常} 刷怪配置错误, 行119, 没这个地图: [E601]
[2023/12/18 23:53:40 726] {异常} 刷怪配置错误, 行120, 没这个地图: [E601]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2531, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2532, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2533, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2534, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2535, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2536, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2537, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2538, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2539, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2540, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2541, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2542, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2543, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2544, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2545, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2546, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2547, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2548, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2549, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2550, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2551, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2552, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2553, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2554, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2555, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2557, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2558, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2559, 没这个地图: [H104]
[2023/12/18 23:53:40 768] {异常} 刷怪配置错误, 行2560, 没这个地图: [H104]
[2023/12/18 23:53:40 950] 已读取 2个行会信息...
[2023/12/18 23:53:40 961] {YouMeSDK}App Key：YOUME07FE20B...
[2023/12/18 23:53:40 961] {YouMeSDK}Api Key：1b96380f1a9f...
[2023/12/18 23:53:40 961] {YouMeSDK}App Secret：t8IKpTDli...
[2023/12/18 23:53:40 971] 已读取 1个城堡信息...
[2023/12/18 23:53:40 989] [错误信息] 城堡初始化城门失败，检查怪物数据库里有没城门的设置: 沙巴克城门
[2023/12/18 23:53:40 989] [错误信息] 城堡初始化左城墙失败，检查怪物数据库里有没左城墙的设置: 沙巴克左城墙
[2023/12/18 23:53:40 989] [错误信息] 城堡初始化中城墙失败，检查怪物数据库里有没中城墙的设置: 沙巴克右城墙
[2023/12/18 23:53:40 989] [错误信息] 城堡初始化右城墙失败，检查怪物数据库里有没右城墙的设置: 沙巴克中城墙
[2023/12/18 23:53:41 543] 
[2023/12/18 23:53:41 543] 
[2023/12/18 23:53:41 543] 本引擎为免费软件，仅供学习研究使用，禁止使用于商业活动或者其他侵权行为，否则后果自负。
[2023/12/18 23:53:41 543] 官方网站: 引擎
[2023/12/18 23:53:41 543] 程序论坛: 引擎
[2023/12/18 23:53:41 543] 
[2023/12/18 23:53:41 548] {统计}GameServer: 处理:0/0 传输:0/0 角色:0/0
[2023/12/18 23:53:41 550] 登录服务器(127.0.0.1:5600)连接成功...
[2023/12/18 23:53:41 572] [连接] LS选服添加会话:admin1/6
[2023/12/18 23:53:43 542] {日志} 游戏网关端口(127.0.0.1:5000)打开成功
[2023/12/18 23:53:45 411] 游戏网关[0]R(127.0.0.1:50633)=>L(127.0.0.1:5000)已打开
[2023/12/18 23:53:45 421] 数据库服务器(127.0.0.1:6000)连接成功...
[2023/12/18 23:53:45 441] {加载} 租赁商店数据
[2023/12/18 23:53:45 441] [非法登录] 全局会话验证失败(admin1/172.29.80.1/7)
[2023/12/18 23:53:45 441] 登录失败[没有会话]=>172.29.80.1
[2023/12/18 23:53:45 441] [连接] LS请求关闭会话:admin1/6
[2023/12/18 23:53:45 441] [连接] LS选服添加会话:admin1/7
[2023/12/18 23:53:51 187] 游戏网关[0]R(127.0.0.1:50633)=>L(127.0.0.1:5000)已关闭
[2023/12/18 23:53:51 488] 登录服务器(127.0.0.1:5600)断开连接...
[2023/12/18 23:53:51 978] {退出} 收到GameCenter的关闭消息
[2023/12/18 23:53:51 978] 游戏网关端口(127.0.0.1:5000)已关闭...
[2023/12/18 23:53:52 088] {保存} 保存无限仓库和租赁商店
[2023/12/18 23:53:52 716] {保存} 保存变量
[2023/12/18 23:53:52 716] {保存} 保存完毕,关服
