;代码	x	y	名称	        范围	数量	时间
D503	200	200	祖玛雕像0	200	2	15
D503	200	200	大老鼠0 	200	2	10
D503	200	200	祖玛雕像3	200	2	20
D503	200	200	祖玛卫士3	200	2	20
D503	200	200	祖玛弓箭手3	200	2	20
;祖玛寺庙四层
D504	200	200	祖玛弓箭手	180	100	8
D504	200	200	祖玛雕像	180	100	8
D504	200	200	祖玛卫士	180	100	8
D504	200	200	楔蛾    	180	100	8
D504	200	200	角蝇    	100	3	8
D504	100	300	角蝇    	100	3	8
D504	300	100	角蝇    	100	3	8
D504	100	100	角蝇    	100	3	8
D504	300	300	角蝇    	100	3	8
D504	200	200	大老鼠  	200	100	10
;特殊
D504	200	200	祖玛弓箭手0	200	2	20
D504	200	200	祖玛卫士0	200	2	20
D504	200	200	祖玛雕像0	200	2	20
D504	200	200	大老鼠0 	200	2	10
D504	200	200	祖玛雕像3	200	4	20
D504	200	200	祖玛卫士3	200	4	20
D504	200	200	祖玛弓箭手3	200	4	20
;祖玛寺庙五层
D505	100	100	祖玛弓箭手	100	100	10
D505	100	100	祖玛雕像	100	100	10
D505	100	100	祖玛卫士	100	100	10
D505	100	100	楔蛾    	100	100	10
D505	100	100	角蝇    	100	30	10
;特殊
D505	100	100	祖玛雕像3	100	3	20
D505	100	100	祖玛卫士3	100	3	20
D505	100	100	祖玛弓箭手3	100	3	20
D505	100	100	祖玛弓箭手0	100	2	20
D505	100	100	祖玛卫士0	100	2	20
D505	100	100	祖玛雕像0	100	2	20
D505	154	172	祖玛卫士00	8	1	30	50
D505	154	172	祖玛卫士	8	7	60	50
D505	154	172	楔蛾	8	8	60	50
D505	154	172	祖玛弓箭手	8	8	60	50
D505	154	172	角蝇	8	10	60	50
D505	154	172	祖玛雕像	8	8	60	50

;祖玛阁
D5061	11	13	祖玛弓箭手	2	1	3
D5061	11	13	祖玛卫士	2	1	3
D5061	11	13	楔蛾    	2	12	5
D5061	11	13	角蝇    	2	1	5
D5061	37	13	祖玛雕像	2	1	3
D5061	37	13	祖玛弓箭手	2	1	3
D5061	37	13	祖玛卫士	2	1	3
D5061	37	13	楔蛾    	2	12	5
D5061	37	13	楔蛾     	2	1	5
D5061	63	13	祖玛雕像	2	1	3
D5061	63	13	祖玛卫士	2	1	3
D5061	63	13	楔蛾    	2	2	5
D5061	63	13	楔蛾    	2	5	5
D5061	89	41	楔蛾    	2	1	5
D5061	89	41	祖玛弓箭手	2	1	3
D5061	12	74	祖玛雕像	2	1	3
D5061	12	74	祖玛卫士	2	1	3
D5061	12	74	楔蛾    	2	2	5
D5061	12	74	楔蛾    	2	1	5
D5061	12	74	祖玛弓箭手	2	1	3
D5061	37	73	祖玛雕像	2	1	3
D5061	37	73	祖玛卫士	2	1	3
D5061	37	73	楔蛾    	2	2	5

;祖玛七层一
D5072	50	50	祖玛雕像	50	45	8
D5072	50	50	祖玛卫士	50	45	8
D5072	50	50	祖玛弓箭手	50	45	8
D5072	50	50	楔蛾    	50	45	8
D5072	50	50	角蝇    	50	5	8
;特殊
D5072	50	50	祖玛雕像3	50	10	60
D5072	50	50	祖玛卫士3	50	10	60
D5072	50	50	祖玛弓箭手3	50	10	60
;祖玛七层二
D5073	50	50	祖玛雕像	50	45	8
D5073	50	50	祖玛卫士	50	45	8
D5073	50	50	祖玛弓箭手	50	45	8
D5073	50	50	楔蛾     	50	45	8
D5073	50	50	角蝇    	50	5	8
;特殊
D5073	50	50	祖玛雕像3	50	10	60
D5073	50	50	祖玛卫士3	50	10	60
D5073	50	50	祖玛弓箭手3	50	10	60
D5073	50	50	祖玛雕像0	50	2	60
D5073	50	50	祖玛卫士0	50	2	60
D5073	50	50	祖玛弓箭手0	50	2	60
;祖玛七层三
D5074	50	50	祖玛雕像	50	45	8
D5074	50	50	祖玛卫士	50	45	8
D5074	50	50	祖玛弓箭手	50	45	8
D5074	50	50	楔蛾    	50	45	8
D5074	50	50	角蝇    	50	5	8
D5074	73	22	祖玛雕像	7	5	11
D5074	73	22	祖玛卫士	7	5	11
D5074	73	22	祖玛弓箭手	7	5	11
D5074	73	22	楔蛾    	7	5	11
D5074	73	22	角蝇    	7	3	11
;特殊
D5074	50	50	祖玛雕像3	50	10	60
D5074	50	50	祖玛卫士3	50	10	60
D5074	50	50	祖玛弓箭手3	50	10	60
D5074	50	50	祖玛雕像0	50	2	30
D5074	50	50	祖玛卫士0	50	2	30
